  reported      58%   (battery service)
  charger       not charging   (P0.17 ~CHG)
  computed      3,789 mV -> 58%
  at the pin    1,280 mV   (1,457 raw counts)
  divider off   3,956 raw counts
  control       3,301 mV for the 3.3V rail   (ADC is sound)
  divider       P0.14 LOW - enabled
  errors        none

  >> the gauge is reading the cell

  sampling every 5 min for 1440 min, every 1 min below 3,600 mV

  19:22:38  t+ 563.0min  3,594 mV   28%  on cell   (pin 1,214 mV, vdd 3,309 mV)
  19:23:40  t+ 564.0min  3,629 mV   33%  on cell   (pin 1,226 mV, vdd 3,305 mV)
  19:24:43  t+ 565.1min  3,644 mV   36%  on cell   (pin 1,231 mV, vdd 3,303 mV)
  19:25:48  t+ 566.2min  3,638 mV   35%  on cell   (pin 1,229 mV, vdd 3,309 mV)
  19:26:52  t+ 567.3min  3,638 mV   35%  on cell   (pin 1,229 mV, vdd 3,304 mV)
  19:27:54  t+ 568.3min  3,656 mV   39%  on cell   (pin 1,235 mV, vdd 3,307 mV)
  19:28:57  t+ 569.3min  3,644 mV   36%  on cell   (pin 1,231 mV, vdd 3,300 mV)
  19:30:00  t+ 570.4min  3,650 mV   37%  on cell   (pin 1,233 mV, vdd 3,298 mV)
  19:31:02  t+ 571.4min  3,618 mV   30%  on cell   (pin 1,222 mV, vdd 3,305 mV)
  19:32:05  t+ 572.5min  3,635 mV   34%  on cell   (pin 1,228 mV, vdd 3,302 mV)
  19:33:07  t+ 573.5min  3,621 mV   31%  on cell   (pin 1,223 mV, vdd 3,301 mV)
  19:34:09  t+ 574.5min  3,641 mV   35%  on cell   (pin 1,230 mV, vdd 3,305 mV)
  19:35:10  t+ 575.6min  3,644 mV   36%  on cell   (pin 1,231 mV, vdd 3,295 mV)
  19:36:13  t+ 576.6min  3,644 mV   36%  on cell   (pin 1,231 mV, vdd 3,302 mV)
  19:37:14  t+ 577.6min  3,609 mV   29%  on cell   (pin 1,219 mV, vdd 3,298 mV)
  19:38:16  t+ 578.7min  3,612 mV   30%  on cell   (pin 1,220 mV, vdd 3,301 mV)
  19:39:18  t+ 579.7min  3,635 mV   34%  on cell   (pin 1,228 mV, vdd 3,304 mV)
  19:40:20  t+ 580.7min  3,624 mV   32%  on cell   (pin 1,224 mV, vdd 3,302 mV)
  19:41:23  t+ 581.8min  3,635 mV   34%  on cell   (pin 1,228 mV, vdd 3,296 mV)
  19:42:26  t+ 582.8min  3,612 mV   30%  on cell   (pin 1,220 mV, vdd 3,296 mV)
  19:43:29  t+ 583.9min  3,629 mV   33%  on cell   (pin 1,226 mV, vdd 3,303 mV)
  19:44:30  t+ 584.9min  3,624 mV   32%  on cell   (pin 1,224 mV, vdd 3,307 mV)
  19:45:32  t+ 585.9min  3,618 mV   30%  on cell   (pin 1,222 mV, vdd 3,309 mV)
  19:46:34  t+ 587.0min  3,618 mV   30%  on cell   (pin 1,222 mV, vdd 3,304 mV)
  19:47:36  t+ 588.0min  3,638 mV   35%  on cell   (pin 1,229 mV, vdd 3,306 mV)
  19:48:41  t+ 589.1min  3,632 mV   33%  on cell   (pin 1,227 mV, vdd 3,302 mV)
  19:49:43  t+ 590.1min  3,629 mV   33%  on cell   (pin 1,226 mV, vdd 3,306 mV)
  19:50:45  t+ 591.1min  3,650 mV   37%  on cell   (pin 1,233 mV, vdd 3,303 mV)
  19:51:46  t+ 592.2min  3,612 mV   30%  on cell   (pin 1,220 mV, vdd 3,309 mV)
  19:52:48  t+ 593.2min  3,615 mV   30%  on cell   (pin 1,221 mV, vdd 3,302 mV)
  19:53:51  t+ 594.2min  3,635 mV   34%  on cell   (pin 1,228 mV, vdd 3,308 mV)
  19:54:52  t+ 595.3min  3,612 mV   30%  on cell   (pin 1,220 mV, vdd 3,302 mV)
  19:55:54  t+ 596.3min  3,626 mV   32%  on cell   (pin 1,225 mV, vdd 3,303 mV)
  19:56:56  t+ 597.3min  3,632 mV   33%  on cell   (pin 1,227 mV, vdd 3,301 mV)
  19:57:57  t+ 598.3min  3,671 mV   41%  on cell   (pin 1,240 mV, vdd 3,300 mV)
  19:58:59  t+ 599.4min  3,638 mV   35%  on cell   (pin 1,229 mV, vdd 3,300 mV)
  20:00:02  t+ 600.4min  3,597 mV   28%  on cell   (pin 1,215 mV, vdd 3,302 mV)
  20:01:04  t+ 601.5min  3,626 mV   32%  on cell   (pin 1,225 mV, vdd 3,303 mV)
  20:02:06  t+ 602.5min  3,656 mV   39%  on cell   (pin 1,235 mV, vdd 3,302 mV)
  20:03:09  t+ 603.5min  3,591 mV   27%  on cell   (pin 1,213 mV, vdd 3,302 mV)
  20:04:11  t+ 604.6min  3,650 mV   37%  on cell   (pin 1,233 mV, vdd 3,312 mV)
  20:05:13  t+ 605.6min  3,665 mV   40%  on cell   (pin 1,238 mV, vdd 3,298 mV)
  20:06:15  t+ 606.6min  3,629 mV   33%  on cell   (pin 1,226 mV, vdd 3,308 mV)
  20:07:17  t+ 607.7min  3,662 mV   40%  on cell   (pin 1,237 mV, vdd 3,300 mV)
  20:08:20  t+ 608.7min  3,624 mV   32%  on cell   (pin 1,224 mV, vdd 3,298 mV)
  20:09:23  t+ 609.8min  3,650 mV   37%  on cell   (pin 1,233 mV, vdd 3,302 mV)
  20:10:25  t+ 610.8min  3,650 mV   37%  on cell   (pin 1,233 mV, vdd 3,301 mV)
  20:11:28  t+ 611.9min  3,629 mV   33%  on cell   (pin 1,226 mV, vdd 3,295 mV)
  20:12:31  t+ 612.9min  3,621 mV   31%  on cell   (pin 1,223 mV, vdd 3,309 mV)
  20:13:33  t+ 613.9min  3,624 mV   32%  on cell   (pin 1,224 mV, vdd 3,298 mV)
  20:14:37  t+ 615.0min  3,650 mV   37%  on cell   (pin 1,233 mV, vdd 3,305 mV)
  20:15:39  t+ 616.0min  3,606 mV   29%  on cell   (pin 1,218 mV, vdd 3,303 mV)
  20:16:41  t+ 617.1min  3,594 mV   28%  on cell   (pin 1,214 mV, vdd 3,306 mV)
  20:17:43  t+ 618.1min  3,629 mV   33%  on cell   (pin 1,226 mV, vdd 3,300 mV)
  20:18:46  t+ 619.1min  3,659 mV   39%  on cell   (pin 1,236 mV, vdd 3,305 mV)
  20:19:48  t+ 620.2min  3,665 mV   40%  on cell   (pin 1,238 mV, vdd 3,300 mV)
  20:20:51  t+ 621.2min  3,606 mV   29%  on cell   (pin 1,218 mV, vdd 3,299 mV)
  20:21:54  t+ 622.3min  3,612 mV   30%  on cell   (pin 1,220 mV, vdd 3,303 mV)
  20:22:58  t+ 623.3min  3,677 mV   42%  on cell   (pin 1,242 mV, vdd 3,302 mV)
  20:24:00  t+ 624.4min  3,635 mV   34%  on cell   (pin 1,228 mV, vdd 3,304 mV)
  20:25:02  t+ 625.4min  3,647 mV   37%  on cell   (pin 1,232 mV, vdd 3,302 mV)
